t,wrist_pitch_servo,wrist_roll_servo,THUMB_servo,INDEX_servo,MIDDLE_servo,RING_servo,PINKY_servo
1771502460.8947325,83.0,111.0,1.0,0.0,0.0,0.0,0.0
1771502460.9267595,83.0,111.0,1.0,0.0,0.0,0.0,0.0
1771502460.9638333,83.0,112.0,1.0,0.0,0.0,0.0,0.0
1771502461.0107768,82.0,112.0,1.0,0.0,0.0,0.0,0.0
1771502461.0418396,82.0,112.0,0.0,0.0,0.0,0.0,0.0
1771502461.0686476,82.0,112.0,0.0,0.0,0.0,0.0,0.0
1771502461.099652,82.0,112.0,0.0,0.0,0.0,0.0,0.0
1771502461.1296506,82.0,112.0,0.0,0.0,0.0,0.0,0.0
1771502461.1611807,81.0,112.0,0.0,0.0,0.0,0.0,0.0
1771502461.1931875,81.0,112.0,0.0,0.0,0.0,0.0,0.0
1771502461.2221832,81.0,112.0,0.0,0.0,0.0,0.0,0.0
1771502461.2537124,81.0,113.0,0.0,0.0,0.0,0.0,0.0
1771502461.2847126,81.0,113.0,0.0,0.0,0.0,0.0,0.0
1771502461.3147187,81.0,113.0,0.0,0.0,0.0,0.0,0.0
1771502461.360287,81.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502461.4112883,81.0,115.0,0.0,0.0,0.0,0.0,0.0
1771502461.4413335,81.0,115.0,0.0,0.0,0.0,0.0,0.0
1771502461.470481,81.0,115.0,0.0,0.0,0.0,0.0,0.0
1771502461.5021808,81.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502461.535196,81.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502461.5654883,80.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502461.5964956,81.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502461.6284978,80.0,113.0,0.0,0.0,0.0,0.0,0.0
1771502461.658025,80.0,113.0,0.0,0.0,0.0,0.0,0.0
1771502461.6920722,80.0,112.0,0.0,0.0,0.0,0.0,0.0
1771502461.7251072,81.0,112.0,0.0,0.0,0.0,0.0,0.0
1771502461.7596395,80.0,111.0,0.0,0.0,0.0,0.0,0.0
1771502461.7916331,80.0,110.0,0.0,0.0,0.0,0.0,0.0
1771502461.844007,80.0,109.0,0.0,0.0,0.0,0.0,0.0
1771502461.873871,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502461.9112902,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502461.943821,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502461.9748223,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.0058198,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.0366597,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.0676613,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.100662,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.1316624,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.1626868,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.1936872,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.2246895,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.2730849,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.3060772,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.3330903,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.3651717,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.39617,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.4261832,80.0,109.0,0.0,0.0,0.0,0.0,0.0
1771502462.459718,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.4896977,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.5207207,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.5605943,80.0,108.0,0.0,0.0,0.0,0.0,0.0
1771502462.5925915,80.0,109.0,0.0,0.0,0.0,0.0,0.0
1771502462.624614,80.0,109.0,0.0,0.0,0.0,0.0,0.0
1771502462.6561396,81.0,109.0,0.0,0.0,0.0,0.0,0.0
1771502462.7062092,81.0,109.0,0.0,0.0,0.0,0.0,0.0
1771502462.737683,81.0,109.0,0.0,0.0,0.0,0.0,0.0
1771502462.768195,81.0,109.0,0.0,0.0,0.0,0.0,0.0
1771502462.7990036,81.0,109.0,0.0,0.0,0.0,0.0,0.0
1771502462.8311868,81.0,109.0,0.0,0.0,0.0,0.0,0.0
1771502462.8623884,81.0,110.0,0.0,0.0,0.0,0.0,0.0
1771502462.8964,82.0,111.0,0.0,0.0,0.0,0.0,0.0
1771502462.9243946,82.0,111.0,0.0,0.0,0.0,0.0,0.0
1771502462.9597342,82.0,112.0,0.0,0.0,0.0,0.0,0.0
1771502462.9917378,82.0,113.0,0.0,0.0,0.0,0.0,0.0
1771502463.0238178,83.0,113.0,0.0,0.0,0.0,0.0,0.0
1771502463.0583305,82.0,113.0,0.0,0.0,0.0,0.0,0.0
1771502463.0873306,82.0,113.0,0.0,0.0,0.0,0.0,0.0
1771502463.139855,82.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502463.172843,83.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502463.204844,83.0,115.0,0.0,0.0,0.0,0.0,0.0
1771502463.2348826,83.0,115.0,0.0,0.0,0.0,0.0,0.0
1771502463.2817013,83.0,115.0,0.0,0.0,0.0,0.0,0.0
1771502463.3127074,82.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502463.3452234,83.0,115.0,0.0,0.0,0.0,0.0,0.0
1771502463.3762217,83.0,115.0,0.0,0.0,0.0,0.0,0.0
1771502463.4072282,83.0,115.0,0.0,0.0,0.0,0.0,0.0
1771502463.4362347,83.0,115.0,0.0,0.0,0.0,0.0,0.0
1771502463.4683936,83.0,115.0,0.0,0.0,0.0,0.0,0.0
1771502463.5003953,83.0,115.0,0.0,0.0,0.0,0.0,0.0
1771502463.5323935,83.0,116.0,0.0,0.0,0.0,0.0,0.0
1771502463.5709279,83.0,116.0,0.0,0.0,0.0,0.0,0.0
1771502463.6009328,83.0,117.0,0.0,0.0,0.0,0.0,0.0
1771502463.6249475,83.0,117.0,0.0,0.0,0.0,0.0,0.0
1771502463.6574678,83.0,118.0,0.0,0.0,0.0,0.0,0.0
1771502463.6884935,84.0,118.0,0.0,0.0,0.0,0.0,0.0
1771502463.7201025,84.0,119.0,0.0,0.0,0.0,0.0,0.0
1771502463.762736,85.0,119.0,0.0,0.0,0.0,0.0,0.0
1771502463.7927682,85.0,120.0,0.0,0.0,0.0,0.0,0.0
1771502463.8237407,84.0,119.0,0.0,0.0,0.0,0.0,0.0
1771502463.8555727,84.0,119.0,0.0,0.0,0.0,0.0,0.0
1771502463.8886633,84.0,119.0,0.0,0.0,0.0,0.0,0.0
1771502463.9197545,84.0,119.0,0.0,0.0,0.0,0.0,0.0
1771502463.9514475,84.0,119.0,0.0,0.0,0.0,0.0,0.0
1771502464.0034487,84.0,118.0,0.0,0.0,0.0,0.0,0.0
1771502464.0351663,84.0,118.0,0.0,0.0,0.0,0.0,0.0
1771502464.0638113,83.0,117.0,0.0,0.0,0.0,0.0,0.0
1771502464.0959098,83.0,117.0,0.0,0.0,0.0,0.0,0.0
1771502464.126915,83.0,117.0,5.0,0.0,0.0,0.0,0.0
1771502464.1624403,81.0,114.0,15.0,0.0,0.0,0.0,0.0
1771502464.193441,80.0,111.0,22.0,0.0,0.0,0.0,0.0
1771502464.2264464,78.0,109.0,32.0,0.0,0.0,1.0,0.0
1771502464.2569082,77.0,106.0,40.0,0.0,0.0,7.0,4.0
1771502464.289095,76.0,105.0,52.0,0.0,0.0,10.0,10.0
1771502464.3200948,76.0,104.0,64.0,0.0,0.0,18.0,15.0
1771502464.3523567,72.0,100.0,68.0,0.0,4.0,22.0,14.0
1771502464.3835564,69.0,98.0,68.0,0.0,11.0,25.0,14.0
1771502464.4345078,65.0,97.0,74.0,0.0,21.0,33.0,19.0
1771502464.4650617,63.0,96.0,74.0,0.0,28.0,42.0,25.0
1771502464.4860618,62.0,96.0,75.0,0.0,30.0,45.0,27.0
1771502464.5170624,61.0,94.0,77.0,21.0,39.0,55.0,34.0
1771502464.5597725,63.0,96.0,78.0,61.0,58.0,78.0,50.0
1771502464.5927882,64.0,97.0,73.0,76.0,66.0,87.0,56.0
1771502464.640292,66.0,98.0,74.0,89.0,76.0,101.0,65.0
1771502464.6742969,70.0,98.0,73.0,97.0,85.0,110.0,75.0
1771502464.7062993,73.0,99.0,83.0,99.0,89.0,110.0,79.0
1771502464.7373004,77.0,99.0,95.0,103.0,90.0,110.0,82.0
1771502464.7673187,79.0,98.0,100.0,105.0,90.0,110.0,85.0
1771502464.7993193,79.0,98.0,100.0,104.0,90.0,110.0,90.0
1771502464.831342,78.0,96.0,100.0,105.0,90.0,110.0,90.0
1771502464.867841,77.0,95.0,100.0,105.0,90.0,110.0,90.0
1771502464.8968415,76.0,93.0,96.0,107.0,90.0,110.0,90.0
1771502464.9237595,76.0,93.0,82.0,106.0,90.0,110.0,91.0
1771502464.961968,75.0,92.0,75.0,106.0,90.0,110.0,91.0
1771502464.9920814,74.0,90.0,67.0,108.0,90.0,110.0,92.0
1771502465.0235934,73.0,90.0,61.0,108.0,90.0,110.0,92.0
1771502465.0566819,73.0,89.0,59.0,109.0,90.0,110.0,93.0
1771502465.0882149,73.0,88.0,54.0,110.0,90.0,110.0,93.0
1771502465.120213,73.0,88.0,55.0,110.0,90.0,110.0,94.0
1771502465.151746,73.0,88.0,56.0,110.0,90.0,110.0,94.0
1771502465.1847427,73.0,88.0,64.0,110.0,90.0,110.0,94.0
1771502465.2157884,73.0,88.0,69.0,110.0,90.0,110.0,95.0
1771502465.2502923,74.0,88.0,71.0,110.0,90.0,110.0,95.0
1771502465.2983077,74.0,89.0,69.0,110.0,90.0,110.0,94.0
1771502465.3323295,74.0,91.0,67.0,110.0,90.0,110.0,92.0
1771502465.3599148,74.0,92.0,74.0,107.0,90.0,110.0,89.0
1771502465.393029,73.0,92.0,63.0,98.0,87.0,110.0,81.0
1771502465.4250684,67.0,91.0,50.0,82.0,72.0,89.0,56.0
1771502465.456042,64.0,91.0,42.0,60.0,51.0,58.0,33.0
1771502465.4910743,62.0,89.0,32.0,33.0,34.0,37.0,22.0
1771502465.520077,64.0,92.0,49.0,11.0,13.0,15.0,13.0
1771502465.552599,66.0,94.0,72.0,5.0,6.0,11.0,9.0
1771502465.583431,69.0,96.0,75.0,6.0,5.0,8.0,5.0
1771502465.6164362,74.0,99.0,65.0,5.0,5.0,5.0,3.0
1771502465.6479368,78.0,103.0,52.0,3.0,4.0,0.0,1.0
1771502465.679939,81.0,108.0,41.0,2.0,2.0,0.0,0.0
1771502465.7319498,85.0,116.0,27.0,0.0,0.0,0.0,0.0
1771502465.7631798,86.0,119.0,21.0,0.0,0.0,0.0,0.0
1771502465.7962804,86.0,120.0,16.0,0.0,0.0,0.0,0.0
1771502465.8275347,86.0,120.0,13.0,0.0,0.0,0.0,0.0
1771502465.858723,87.0,121.0,10.0,0.0,0.0,0.0,0.0
1771502465.891686,88.0,121.0,8.0,0.0,0.0,0.0,0.0
1771502465.9237123,88.0,120.0,6.0,0.0,0.0,0.0,0.0
1771502465.9533238,88.0,120.0,5.0,0.0,0.0,0.0,0.0
1771502466.000271,87.0,119.0,4.0,0.0,0.0,0.0,0.0
1771502466.0333405,87.0,118.0,3.0,0.0,0.0,0.0,0.0
1771502466.064315,87.0,118.0,2.0,0.0,0.0,0.0,0.0
1771502466.0964012,87.0,118.0,2.0,0.0,0.0,0.0,0.0
1771502466.1259146,87.0,117.0,1.0,0.0,0.0,0.0,0.0
1771502466.1624606,86.0,117.0,1.0,0.0,0.0,0.0,0.0
1771502466.1924536,86.0,117.0,1.0,0.0,0.0,0.0,0.0
1771502466.2264655,87.0,117.0,1.0,0.0,0.0,0.0,0.0
1771502466.2574801,86.0,117.0,1.0,0.0,0.0,0.0,0.0
1771502466.2874782,86.0,116.0,1.0,0.0,0.0,0.0,0.0
1771502466.3193634,87.0,117.0,0.0,0.0,0.0,0.0,0.0
1771502466.3544662,87.0,117.0,0.0,0.0,0.0,0.0,0.0
1771502466.3834815,87.0,117.0,0.0,0.0,0.0,0.0,0.0
1771502466.4154487,87.0,118.0,0.0,0.0,0.0,0.0,0.0
1771502466.4479883,87.0,118.0,0.0,0.0,0.0,0.0,0.0
1771502466.4799855,86.0,118.0,0.0,0.0,0.0,0.0,0.0
1771502466.5130708,85.0,116.0,0.0,0.0,0.0,0.0,0.0
1771502466.544586,83.0,113.0,11.0,0.0,0.0,0.0,0.0
1771502466.593576,81.0,110.0,41.0,0.0,0.0,2.0,2.0
1771502466.6286342,80.0,108.0,58.0,0.0,0.0,10.0,9.0
1771502466.6590905,79.0,108.0,79.0,0.0,0.0,14.0,12.0
1771502466.6900938,74.0,104.0,94.0,0.0,0.0,19.0,13.0
1771502466.7210915,70.0,100.0,100.0,0.0,5.0,26.0,15.0
1771502466.7526474,68.0,98.0,100.0,0.0,13.0,33.0,20.0
1771502466.7836459,66.0,95.0,100.0,0.0,21.0,41.0,27.0
1771502466.8166487,64.0,92.0,88.0,6.0,30.0,51.0,33.0
1771502466.8482327,64.0,90.0,74.0,13.0,39.0,58.0,38.0
1771502466.8792021,63.0,89.0,67.0,20.0,44.0,62.0,42.0
1771502466.913206,63.0,89.0,68.0,31.0,51.0,68.0,45.0
1771502466.9447098,64.0,92.0,67.0,54.0,64.0,81.0,53.0
1771502466.9927418,66.0,94.0,64.0,74.0,76.0,94.0,63.0
1771502467.0317802,67.0,96.0,53.0,90.0,83.0,104.0,69.0
1771502467.0556486,69.0,97.0,47.0,99.0,86.0,110.0,74.0
1771502467.0893412,74.0,99.0,45.0,105.0,88.0,109.0,88.0
1771502467.121336,78.0,100.0,47.0,107.0,90.0,109.0,92.0
1771502467.1514187,78.0,100.0,41.0,107.0,90.0,110.0,92.0
1771502467.1865075,76.0,99.0,28.0,107.0,90.0,110.0,90.0
1771502467.216758,76.0,98.0,22.0,109.0,90.0,110.0,89.0
1771502467.2489882,75.0,97.0,17.0,109.0,90.0,110.0,87.0
1771502467.279983,75.0,97.0,13.0,109.0,90.0,110.0,88.0
1771502467.3109818,74.0,97.0,10.0,109.0,90.0,110.0,87.0
1771502467.3650608,74.0,96.0,8.0,109.0,90.0,110.0,87.0
1771502467.3963494,73.0,96.0,6.0,110.0,90.0,110.0,87.0
1771502467.427353,73.0,96.0,4.0,110.0,90.0,110.0,87.0
