t,wrist_pitch_servo,wrist_roll_servo,THUMB_servo,INDEX_servo,MIDDLE_servo,RING_servo,PINKY_servo
1771501732.1026616,76.0,105.0,100.0,93.0,86.0,110.0,93.0
1771501732.13417,76.0,106.0,100.0,93.0,86.0,110.0,94.0
1771501732.1662939,76.0,106.0,100.0,93.0,86.0,110.0,94.0
1771501732.1968331,76.0,106.0,100.0,93.0,86.0,110.0,94.0
1771501732.2289805,75.0,106.0,94.0,93.0,86.0,110.0,95.0
1771501732.259357,75.0,105.0,100.0,94.0,86.0,110.0,95.0
1771501732.2915792,76.0,106.0,100.0,93.0,85.0,110.0,95.0
1771501732.3235574,75.0,105.0,100.0,93.0,86.0,110.0,94.0
1771501732.3525846,76.0,106.0,100.0,94.0,86.0,110.0,94.0
1771501732.3842669,76.0,106.0,100.0,93.0,86.0,110.0,94.0
1771501732.4162655,77.0,107.0,100.0,94.0,86.0,110.0,94.0
1771501732.4949303,76.0,107.0,100.0,93.0,85.0,110.0,95.0
1771501732.5239573,76.0,107.0,100.0,93.0,86.0,110.0,95.0
1771501732.5549095,76.0,106.0,100.0,93.0,86.0,110.0,95.0
1771501732.5855737,76.0,106.0,100.0,93.0,86.0,110.0,94.0
1771501732.617568,76.0,106.0,100.0,93.0,85.0,110.0,94.0
1771501732.648566,76.0,106.0,99.0,92.0,86.0,110.0,95.0
1771501732.6803179,75.0,106.0,100.0,92.0,85.0,110.0,94.0
1771501732.7124803,75.0,106.0,99.0,93.0,86.0,110.0,94.0
1771501732.7430782,76.0,106.0,98.0,92.0,85.0,110.0,95.0
1771501732.7756484,75.0,106.0,95.0,92.0,85.0,110.0,95.0
1771501732.8056738,75.0,106.0,97.0,92.0,85.0,110.0,95.0
1771501732.8371403,76.0,106.0,100.0,93.0,86.0,110.0,95.0
1771501732.8697426,75.0,106.0,97.0,92.0,85.0,110.0,95.0
1771501732.9012475,76.0,106.0,86.0,93.0,86.0,110.0,94.0
1771501732.933246,76.0,106.0,100.0,93.0,86.0,110.0,95.0
1771501732.9642942,76.0,106.0,97.0,93.0,86.0,110.0,94.0
1771501732.995799,76.0,106.0,100.0,93.0,85.0,110.0,95.0
1771501733.028801,76.0,107.0,100.0,93.0,86.0,110.0,94.0
